experiment,structure,x,metric,value
scaling,array,4923252,query_us,1.3275
scaling,array,4923252,total_hits,1109.0000
scaling,tree,4923252,build_ms,7235.4550
scaling,tree,4923252,memory_bytes,1699348504.0000
scaling,tree,4923252,query_us,3.0898
scaling,tree,4923252,total_hits,1109.0000
scaling,tree,4923252,node_count,8121565.0000
scaling,array,5035144,build_ms,734.7519
scaling,array,5035144,memory_bytes,40281152.0000
scaling,array,5035144,query_us,1.2565
scaling,array,5035144,total_hits,1107.0000
scaling,tree,5035144,build_ms,7219.0759
scaling,tree,5035144,memory_bytes,1738315344.0000
scaling,tree,5035144,query_us,3.0514
scaling,tree,5035144,total_hits,1107.0000
scaling,tree,5035144,node_count,8310070.0000
scaling,array,5147036,build_ms,740.9961
scaling,array,5147036,memory_bytes,41176288.0000
scaling,array,5147036,query_us,1.2449
scaling,array,5147036,total_hits,1150.0000
scaling,tree,5147036,build_ms,7480.3995
scaling,tree,5147036,memory_bytes,1776809184.0000
scaling,tree,5147036,query_us,2.9540
scaling,tree,5147036,total_hits,1150.0000
scaling,tree,5147036,node_count,8493200.0000
scaling,array,5258928,build_ms,782.2935
scaling,array,5258928,memory_bytes,42071424.0000
scaling,array,5258928,query_us,88.3441
scaling,array,5258928,total_hits,1135.0000
scaling,tree,5258928,build_ms,7817.9687
scaling,tree,5258928,memory_bytes,1815302760.0000
scaling,tree,5258928,query_us,2.9120
scaling,tree,5258928,total_hits,1135.0000
scaling,tree,5258928,node_count,8676327.0000
scaling,array,5370820,build_ms,925.9202
scaling,array,5370820,memory_bytes,42966560.0000
scaling,array,5370820,query_us,3.1013
scaling,array,5370820,total_hits,1135.0000
scaling,tree,5370820,build_ms,8097.8226
scaling,tree,5370820,memory_bytes,1853855032.0000
scaling,tree,5370820,query_us,2.9441
scaling,tree,5370820,total_hits,1135.0000
scaling,tree,5370820,node_count,8860121.0000
scaling,array,5482712,build_ms,835.7462
scaling,array,5482712,memory_bytes,43861696.0000
scaling,array,5482712,query_us,1.2763
scaling,array,5482712,total_hits,1122.0000
scaling,tree,5482712,build_ms,8097.5990
scaling,tree,5482712,memory_bytes,1892365680.0000
scaling,tree,5482712,query_us,2.9239
scaling,tree,5482712,total_hits,1122.0000
scaling,tree,5482712,node_count,9043442.0000
scaling,array,5594605,build_ms,848.4277
scaling,array,5594605,memory_bytes,44756840.0000
scaling,array,5594605,query_us,1.3719
scaling,array,5594605,total_hits,1105.0000
scaling,tree,5594605,build_ms,8372.6515
scaling,tree,5594605,memory_bytes,1930910056.0000
scaling,tree,5594605,query_us,3.0685
scaling,tree,5594605,total_hits,1105.0000
scaling,tree,5594605,node_count,9227144.0000
query,array,4,query_us,1466.3443
query,tree,4,query_us,7044.7495
query,array,4,total_hits,25287446.0000
query,tree,4,total_hits,25287446.0000
query,array,8,query_us,6.4045
query,tree,8,query_us,35.2625
query,array,8,total_hits,129170.0000
query,tree,8,total_hits,129170.0000
query,array,12,query_us,1.2913
query,tree,12,query_us,5.2788
query,array,12,total_hits,2003.0000
query,tree,12,total_hits,2003.0000
query,array,16,query_us,1.2294
query,tree,16,query_us,3.1775
query,array,16,total_hits,1153.0000
query,tree,16,total_hits,1153.0000
query,array,24,query_us,1.4674
query,tree,24,query_us,3.7599
query,array,24,total_hits,1097.0000
query,tree,24,total_hits,1097.0000
query,array,32,query_us,1.2085
query,tree,32,query_us,3.3298
query,array,32,total_hits,1155.0000
query,tree,32,total_hits,1155.0000
query,array,48,query_us,1.7599
query,tree,48,query_us,3.5441
query,array,48,total_hits,1116.0000
query,tree,48,total_hits,1116.0000
query,array,64,query_us,1.1845
query,tree,64,query_us,3.0256
query,array,64,total_hits,1098.0000
query,tree,64,total_hits,1098.0000
